NOME;tipo;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Região Metropolitana de Salvador;pedestre;37;92;103;108;78;260;230;216;80;82;245;223;209;180;181;137;105;108;77;73;72
Região Metropolitana de Ribeirão Preto;pedestre;48;44;51;38;41;49;40;60;51;62;62;58;46;41;63;57;47;51;58;45;40
Região Metropolitana de Porto Velho;pedestre;0;3;15;7;3;4;9;10;1;23;29;15;27;27;19;25;24;18;23;12;18
Região Metropolitana de Porto Alegre;pedestre;207;209;255;227;249;228;194;185;207;196;182;154;134;157;149;128;142;136;139;156;102
Região Metropolitana de Patos;pedestre;9;7;9;3;6;11;2;1;4;2;0;1;2;5;8;3;2;4;7;4;6
Região Metropolitana de Palmeira dos Índios;pedestre;1;1;0;3;1;1;1;0;1;2;2;0;0;0;0;0;0;1;1;0;1
Região Metropolitana de Palmas;pedestre;26;16;18;18;26;15;19;21;33;19;16;14;23;15;28;23;15;14;18;11;18
Região Metropolitana de Natal;pedestre;79;59;53;55;56;43;33;35;30;27;50;55;34;41;30;32;31;44;25;23;23
Região Metropolitana de Maringá;pedestre;58;50;71;54;55;62;55;59;71;55;67;53;47;41;37;31;36;38;38;42;35
Região Metropolitana de Manaus;pedestre;134;120;128;144;131;128;151;127;118;114;165;185;144;148;127;124;110;93;121;101;92
Região Metropolitana de Maceió;pedestre;213;248;208;105;118;126;112;125;58;60;41;58;59;40;31;22;10;33;39;23;34
Região Metropolitana de Macapá;pedestre;32;96;84;87;70;89;58;0;5;0;1;3;8;9;26;13;17;21;21;11;7
Região Metropolitana de Londrina;pedestre;57;73;69;47;61;74;70;71;74;69;82;74;54;65;48;59;50;58;50;45;47
Região Metropolitana de Lages;pedestre;21;15;14;11;7;20;15;14;12;6;13;14;25;15;19;13;11;22;17;15;17
Região Metropolitana de João Pessoa;pedestre;40;45;99;90;71;96;83;79;84;48;69;59;80;69;54;56;49;61;51;56;32
Região Metropolitana de Itabaiana;pedestre;0;2;5;2;3;3;3;7;1;1;2;3;1;2;2;1;1;1;1;0;0
Região Metropolitana de Gurupi;pedestre;1;5;5;6;3;3;5;8;11;8;16;8;10;7;6;7;1;8;9;4;4
Região Metropolitana de Guarabira;pedestre;3;11;3;4;7;6;3;3;4;4;9;5;5;2;7;0;10;3;0;2;1
Região Metropolitana de Goiânia;pedestre;113;125;123;141;132;163;127;133;137;120;162;128;150;153;146;106;89;109;95;88;86
Região Metropolitana de Fortaleza;pedestre;260;300;352;355;360;377;334;381;272;305;349;329;335;339;260;243;172;178;146;113;74
Região Metropolitana de Florianópolis;pedestre;94;98;82;78;55;85;74;57;64;55;63;66;54;44;60;53;44;37;36;49;31
Região Metropolitana de Feira de Santana;pedestre;23;17;14;7;7;20;29;36;29;22;34;21;20;17;9;4;3;3;6;3;3
Região Metropolitana de Esperança;pedestre;2;0;9;5;1;5;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0
Região Metropolitana de Curitiba;pedestre;151;192;199;183;244;290;249;269;287;245;200;183;195;164;172;131;135;145;146;154;135
Região Metropolitana de Chapecó;pedestre;23;11;14;19;30;12;21;23;28;31;31;28;24;17;7;13;16;22;10;17;12
Região Metropolitana de Central;pedestre;0;1;2;0;0;0;0;0;0;1;0;1;1;0;2;0;1;0;2;1;2
Região Metropolitana de Cascavel;pedestre;49;54;58;83;62;39;67;57;40;44;44;45;45;41;29;32;29;32;22;28;20
Região Metropolitana de Campo Mourão;pedestre;12;16;18;19;13;22;23;15;25;16;19;13;27;23;11;22;15;23;11;14;9
Região Metropolitana de Campinas;pedestre;100;109;143;125;133;144;146;161;159;144;148;144;126;144;134;121;118;115;96;92;97
Região Metropolitana de Campina Grande;pedestre;12;66;40;5;0;0;1;0;3;1;1;0;0;0;3;0;0;0;0;1;0
Região Metropolitana de Cajazeiras;pedestre;2;0;3;5;0;6;3;0;4;4;2;3;2;1;5;3;4;3;2;4;1
Região Metropolitana de Caetés;pedestre;9;12;17;5;2;6;5;10;1;2;4;4;6;4;1;1;0;1;1;2;1
Região Metropolitana de Belo Horizonte;pedestre;313;336;336;303;339;341;375;352;358;323;353;300;300;249;273;208;202;203;178;173;151
Região Metropolitana de Belém;pedestre;224;216;293;301;251;297;295;253;288;239;376;387;407;360;215;279;126;249;140;102;118
Região Metropolitana de Barra de Santa Rosa;pedestre;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Região Metropolitana de Araruna;pedestre;1;0;0;1;2;4;1;0;2;0;2;0;0;2;0;1;1;1;0;0;0
Região Metropolitana de Aracaju;pedestre;60;63;65;87;82;75;69;50;77;79;74;62;52;64;66;57;32;37;34;28;26
Região Metropolitana de Apucarana;pedestre;24;12;14;16;24;22;15;16;21;17;23;30;15;29;21;17;19;14;21;17;9
Região Metropolitana da Zona da Mata;pedestre;24;15;32;9;5;10;5;24;7;9;6;6;6;4;4;2;2;6;4;0;3
Região Metropolitana da Serra Gaúcha;pedestre;40;36;39;41;44;40;34;28;37;32;26;40;32;26;20;25;18;32;20;14;13
Região Metropolitana da Grande Vitória;pedestre;166;166;168;159;145;122;130;148;165;114;130;133;103;110;86;70;76;75;72;77;56
Região Metropolitana da Grande São Luís;pedestre;45;70;103;81;99;110;91;87;78;83;110;76;84;41;38;38;47;76;20;29;53
Região Metropolitana da Foz do Rio Itajaí;pedestre;40;39;39;41;34;27;38;48;28;36;30;29;23;31;24;18;28;35;21;34;28
Região Metropolitana da Capital;pedestre;15;19;11;2;5;12;11;20;7;6;10;10;11;18;29;10;12;19;10;5;5
Região Metropolitana da Baixada Santista;pedestre;70;92;103;125;114;120;124;114;101;94;101;86;97;129;94;73;62;65;86;72;78
Região Metropolitana Carbonífera;pedestre;32;38;27;21;31;25;24;24;13;28;24;22;23;23;16;13;20;18;18;16;10
Região Integrada de Desenvolvimento do Distrito Federal e Entorno;pedestre;264;280;297;307;272;268;236;254;275;220;277;222;213;221;218;187;184;155;165;143;139
Região Integrada de Desenvolvimento da Grande Teresina;pedestre;52;65;66;82;79;85;81;78;99;83;94;79;74;78;90;75;51;52;62;44;38
Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA;pedestre;39;30;40;27;28;29;22;6;28;22;25;33;28;29;23;15;32;33;20;31;22
Aglomeração Urbana do Sul;pedestre;38;41;24;32;29;35;19;30;32;33;29;31;31;33;29;38;30;21;27;27;23
Aglomeração Urbana do Litoral Norte;pedestre;2;15;17;13;15;10;9;15;8;9;11;14;19;12;12;20;11;11;11;11;13
Aglomeração Urbana de Piracicaba-AU- Piracicaba;pedestre;52;45;74;78;61;62;76;72;80;48;48;70;63;48;61;46;42;57;41;43;48
Aglomeração Urbana de Jundiaí;pedestre;21;21;34;39;29;33;47;38;54;34;27;37;40;36;58;44;31;44;24;37;27
Aglomeração Urbana de Franca;pedestre;22;24;35;21;38;29;30;27;34;28;19;25;19;13;27;10;19;31;23;20;16
Outros;pedestre;2772;2849;2986;2983;3144;2979;3002;2942;3004;2787;3050;2841;2719;2575;2542;2283;2143;2091;2082;2032;1724
Região Metropolitana do Vale do Rio Cuiabá;ciclista;9;5;9;9;13;7;7;9;7;9;4;11;7;10;12;8;13;10;9;10;9
Região Metropolitana do Vale do Piancó;ciclista;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
Região Metropolitana do Vale do Paraíba e Litoral Norte;ciclista;5;8;7;21;15;13;11;18;16;14;8;11;18;14;16;9;19;14;21;6;25
Região Metropolitana do Vale do Paraíba;ciclista;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
Região Metropolitana do Vale do Mamanguape;ciclista;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
Região Metropolitana do Vale do Itajaí;ciclista;13;11;13;9;14;18;6;9;7;16;14;11;14;7;14;7;13;14;7;16;15
Região Metropolitana do Vale do Aço;ciclista;3;3;2;6;6;9;4;3;3;1;6;3;4;5;2;6;11;4;6;9;7
