UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
MA;21;01400;Balsas;74056;14057;0;2582;1577;7402;709;0;128;126;30118;11309;270;0;1874;3303;4;9;0;6;9;573
MA;21;01509;Barão de Grajaú;3122;379;0;92;7;232;14;0;2;5;1903;384;13;0;77;9;0;0;0;0;1;4
MA;21;01608;Barra do Corda;38397;4853;0;883;65;2795;335;0;41;57;24245;4565;44;0;241;91;0;0;0;0;5;177
MA;21;01707;Barreirinhas;11195;1098;0;125;11;1825;179;0;35;17;6804;879;33;0;37;18;0;0;0;0;5;129
MA;21;01772;Bela Vista do Maranhão;3256;697;0;73;7;202;12;0;4;5;1978;221;5;0;41;5;0;0;0;0;1;5
MA;21;01731;Belágua;510;103;0;4;0;71;5;0;0;7;287;26;3;0;1;0;0;0;0;0;0;3
MA;21;01806;Benedito Leite;343;55;0;10;0;46;5;0;0;6;198;15;2;0;5;0;0;0;0;0;0;1
MA;21;01905;Bequimão;3673;510;0;105;5;222;33;0;3;19;2280;454;19;0;3;10;0;0;0;0;0;10
MA;21;01939;Bernardo do Mearim;2034;167;0;41;0;114;8;0;2;2;1387;294;7;0;9;1;0;0;0;0;0;2
MA;21;01970;Boa Vista do Gurupi;794;183;0;12;0;61;7;0;0;6;473;43;4;0;1;0;0;0;0;0;0;4
MA;21;02002;Bom Jardim;8370;988;0;242;38;457;36;0;2;10;5908;532;22;0;71;36;0;1;0;0;3;24
MA;21;02036;Bom Jesus das Selvas;6270;824;0;177;10;439;43;0;6;9;4281;397;20;0;43;14;0;0;0;0;1;6
MA;21;02077;Bom Lugar;2999;402;0;40;0;247;17;0;0;15;2088;147;15;0;11;2;0;0;0;0;0;15
MA;21;02101;Brejo;4338;929;0;104;37;428;36;0;1;20;2281;340;16;0;38;83;0;0;0;0;1;24
MA;21;02150;Brejo de Areia;1944;71;0;32;0;111;3;0;0;6;1586;123;8;0;3;0;0;0;0;0;0;1
MA;21;02200;Buriti;4282;489;0;64;2;273;36;0;1;11;3060;306;12;0;12;1;0;0;0;0;2;13
MA;21;02309;Buriti Bravo;4264;438;0;47;3;221;19;0;4;11;3086;387;22;0;12;8;0;0;0;0;0;6
MA;21;02325;Buriticupu;21696;2886;0;564;65;1386;91;0;27;71;14285;1967;43;0;132;121;0;3;0;0;3;52
MA;21;02358;Buritirana;3047;388;0;40;4;218;18;0;10;8;2114;217;4;0;22;0;0;0;0;0;0;4
MA;21;02374;Cachoeira Grande;980;160;0;12;0;110;5;0;0;2;652;18;14;0;1;0;0;0;0;0;0;6
MA;21;02408;Cajapió;1337;165;0;10;0;58;7;0;0;3;1001;84;5;0;1;0;0;0;0;0;2;1
MA;21;02507;Cajari;1944;261;0;13;2;108;12;0;0;3;1456;69;6;0;7;2;0;0;0;0;0;5
MA;21;02556;Campestre do Maranhão;3773;845;0;52;5;288;31;0;4;21;1974;325;60;0;162;3;0;0;0;0;0;3
